"t","UserID","ConversionTagID","EventID","EventTypeID","EventDate","EntityID","PlacementID","SiteID","SearchAdID","AdGroupID","IP","CountryID","StateID","DMAID","CityID","ZipCode","AreaCode","BrowserCode","OSCode","Referrer","MobileDevice","MobileCarrier","AudienceID","ProductID","PCP"
1401815229,"90d61c29-e110-4df1-a53f-b47362db6617",0,"00000000-0000-0153-7497-822499722437",1,"6/3/2014 6:07:09 PM",20752065,9975914,37344,,,"122.22.73.97","392","9598","-1","11234","650-0048",,2,2,"http://ad.fout.jp/1132/?bid_id=vndrQUrOu95QFWzZiBQFrw&g=78302&ra=1223976&rd=http://adclick.g.doubleclick.net/aclk%3Fsa%3DL%26ai%3DCqFHNtQCOU5_2DcP19QWcuYCAAd_y-rADz9Gw7DbAjbcBEAEgAFCAx-HEBGCJ89WEsBSCARdjYS1wdWItODUxMDg0ODQ4MjA3NzU5N8gBCakC60vWJqn3RD7gAgCoAwGYBACqBLsBT9CbdGHaQfK6XhURXeqzydp7GRSXc6xm4EbAFCJGoZkGPW-1qCiyZGyj9KqTZ0FQHsJXlRktFTk-7JrLHw8GvmSDVNxmItG5QuP_Vc_nCgYkeio7yvGhf26L8d6-oq-273W2hPFWDXejaZ0Y32STclG71PC1ursnQC6AualdFzLKekEB3bIi6uVD7tL1u4feCzFaKwVnXuoEGTjdSP6ab2Qrc4LZ4Dz4dEFGG3vrCzZFYWXi6RDMwSKbUOAEAYAGq5GYve-8wpY0oAYh%26num%3D1%26sig%3DAOD64_10LUtXjn_pmR8Ay3TpVdEwoMG2RQ%26client%3Dca-pub-8510848482077597%26adurl%3D&prc=U44AtQADex8KvXrDAAAcnLXmTxA6meXwv2mBVg",,,"-1","-1",
1401815229,"90d61c29-e110-4df1-a53f-b47362db6617",0,"00000000-0000-0845-8104-218466144631",1,"6/3/2014 6:07:09 PM",20752064,9975914,37344,,,"122.22.73.97","392","9598","-1","11234","650-0048",,2,2,"http://ad.fout.jp/1132/?bid_id=nxp1pTCJo4XMvpwJ2MdmJA&g=78302&ra=1223976&rd=http://adclick.g.doubleclick.net/aclk%3Fsa%3DL%26ai%3DCQR8stQCOU7PyDdOy8gWQ8oGgDN_y-rADz9Gw7DbAjbcBEAEgAFCAx-HEBGCJ89WEsBSCARdjYS1wdWItODUxMDg0ODQ4MjA3NzU5N8gBCakCiQ_d_yL3RD7gAgCoAwGYBACqBL4BT9DoGsYvxaRQ95GXwuhzNtYWvYy9oDZwrT53tzbs7eQmxL0VklAb-Ncq92NClsguNtEGg2VQmhjrUcsRBRfD9lbSA5zz2icbHnzM-Uj-N1zsYZvHsVze6fHs5uvWupFygNF_ignFnPzhb4Pegc-tdecQn-acQo57gBSSUI6cXfFq0nflstfFwO4cwsiruITdkmW7MUW6KOsrwza9Ri7c6vOihZO8wPg2FtPTEVu9DmJDwuPJPmgLF8q5X1wCk-AEAYAGq5GYve-8wpY0oAYh%26num%3D1%26sig%3DAOD64_0fupqCO42_ed2CwAQEsdWytvZUhA%26client%3Dca-pub-8510848482077597%26adurl%3D&prc=U44AtQADeTMKvJlTAAB5EGVdNa8U_ABgjbrCHg",,,"-1","-1",
1401815238,"90d61c29-e110-4df1-a53f-b47362db6617",0,"00000000-0000-0700-5534-097579131160",1,"6/3/2014 6:07:18 PM",20753678,9975916,37344,,,"122.22.73.97","392","9598","-1","11234","650-0048",,2,2,"http://ad.fout.jp/1132/?bid_id=jc4NLCbgDjoB8IsLPxBU1Q&g=78302&ra=1223977&rd=http://adclick.g.doubleclick.net/aclk%3Fsa%3DL%26ai%3DCNXd2tQCOU7joDciC9gWf4YCYB9_y-rADz9Gw7DbAjbcBEAEgAFCAx-HEBGCJ89WEsBSCARdjYS1wdWItODUxMDg0ODQ4MjA3NzU5N8gBCakCouQyUNv7RD7gAgCoAwGYBACqBL8BT9Du6xQu5zCwzo38EvUpz9YXu7UkHr9wy0GVjLzy3PPxjaxOkhbGEuCv3jn-qW06UjRQUKSDFBNflkij8oZnyPsogr2WViAZGt_0ZTaA4xTP8F-V-7PLOE5PgwaBme2ObGgiczuH0hDfJ8UzkrkZyPtlH-AnIVLVeGo4cKcCR97h9b1F9F3Krq8vOsxmCMgp3KeU4v_tAae9ifT9AzNIfKVCJKEahs-pmsyGj1yUidFpBmvc98Or_2XDe9SAxbjgBAGABr6X95ipxfPR9wGgBiE%26num%3D1%26sig%3DAOD64_2HHh0IvdJiuECH52PyRBvkfvHuoQ%26client%3Dca-pub-8510848482077597%26adurl%3D&prc=U44AtQADdDgKvYFIAAAwn8I32kxC1yKWI0yHgA",,,"-1","-1",
1401815238,"90d61c29-e110-4df1-a53f-b47362db6617",0,"00000000-0000-0406-0284-259739679740",1,"6/3/2014 6:07:18 PM",20752064,9975914,37344,,,"122.22.73.97","392","9598","-1","11234","650-0048",,2,2,"http://ad.fout.jp/1132/?bid_id=fgKPiO9WTjwcfQYeHL8eAQ&g=78302&ra=1223976&rd=http://adclick.g.doubleclick.net/aclk%3Fsa%3DL%26ai%3DCeWqttQCOU5zmDYGt8AWa-ILwCt_y-rADz9Gw7DbAjbcBEAEgAFCAx-HEBGCJ89WEsBSCARdjYS1wdWItODUxMDg0ODQ4MjA3NzU5N8gBCakCouQyUNv7RD7gAgCoAwGYBACqBL4BT9CadxMhiPis_alwXSkDnwcFW9kfmDPlBNmqtFDFlGLskT7AuDnDL3_g8wT5Ad00Q_JZCjK39rE19KJ7MIwyab8BMuFdGp0ulFUB1H2j5Dfduy3_csgzy6NEg1gIcxgLBff7yfyQhdE8DNWc1mWfC8-APOFnmI-0N8oMxWHrCmPF3UwHiTKdY8el2sRQr3y5fcCeHLxe2goaom9mnLCexR0dluT20ZY3i2MvlquApqXCS1rMT4aKHNxiaHW0n-AEAYAGq5GYve-8wpY0oAYh%26num%3D1%26sig%3DAOD64_2h4gm5qCHkJIEHfbxPOBS5hINiFQ%26client%3Dca-pub-8510848482077597%26adurl%3D&prc=U44AtQADcxwKvBaBAAC8GrfbNIAf_C1B6vVBJQ",,,"-1","-1",
1402197790,"c7c5bfa5-4cb3-4af2-be16-bb61122d068e",0,"00000000-0000-0708-3162-042605895034",1,"6/8/2014 4:23:10 AM",20727097,9964904,74239,,,"180.20.20.152","392","9648","-1","419","880-0004",,21,8,,,,"-1","-1",
1402197861,"c7c5bfa5-4cb3-4af2-be16-bb61122d068e",0,"00000000-0000-0740-5169-047659375703",1,"6/8/2014 4:24:21 AM",20727110,9964906,74239,,,"180.20.20.152","392","9648","-1","419","880-0004",,21,8,,,,"-1","-1",
1402320518,"dcfd0cb2-8b63-4fcf-a8d5-4718561ab463",0,"00000000-0000-0437-1067-101337922921",1,"6/9/2014 2:28:38 PM",20727097,9964904,74239,,,"126.119.79.219","392","9492","-1","2767","103-0013",,29,9,,,,"-1","-1",
1401628621,"7b71d52d-6b77-43ff-9ebc-e92993e7500a",0,"00000000-0000-0000-0000-000000000000",2,"6/1/2014 2:17:01 PM",20705259,9957098,66166,,,"126.205.227.207","392","9492","-1","2767","103-0013",,0,10,"http://www.google.co.jp/aclk?sa=l&ai=CO64CyyeLU_S5F5eO8AWxp4GYC9ySvPAF_IDn_6oBhZqs9Q4IABABIJfgvAsoAlDOoLeJBmCJs8aE9BOgAeTW-OEDyAEBqQLdnTKHMR5FPqoEIU_QmcjhnUes8oIoFTuWiHR936aPHIffS95MLeZQOUCFHtgGAoAHhKmHHpAHAw&sig=AOD64_0C4iJqJ9vWEcIpJcpxexMW16VhJA&rct=j&q=&ved=0CCcQ0Qw&adurl=http://bs.serving-sys.com/BurstingPipe/adServer.bs%3Fcn%3Dtf%26c%3D20%26mc%3Dclick%26pli%3D9957098%26PluID%3D0%26ord%3D%5Btimestamp%5D","Apple iphone",,"-1","-1",
1401628624,"7b71d52d-6b77-43ff-9ebc-e92993e7500a",370718,,1,,0,8406594,76072,,,"126.205.227.207","392","9492","-1","2767","103-0013",,0,10,"http://www.orixlife.jp/sp/pr/003.htm?oKL=8006851&cid=listing",,,,,
1401749450,"7b71d52d-6b77-43ff-9ebc-e92993e7500a",0,"00000000-0000-0324-8584-544333412563",1,"6/2/2014 11:50:50 PM",20658823,9930890,70689,,,"126.254.33.33","392","9492","-1","2767","103-0013",,0,10,,"Apple iphone",,"-1","-1",
1402187131,"8daff1dc-bfba-4884-8c78-57ddf0d36fb5",0,"00000000-0000-0624-2796-922929483677",1,"6/8/2014 1:25:31 AM",20734070,9967640,49864,,,"111.96.216.89","392","9562","-1","44297","492-8269",,21,9,"http://adf.send.microad.jp/afr.php?zoneid=8693&cb=INSERT_RANDOM_NUMBER_HERE&ct0=INSERT_CLICKURL_HERE&snr=2",,,"-1","-1",
1401823981,"edc4dda9-53ff-4590-8405-34ed436addde",0,"00000000-0000-0291-4510-399400718804",1,"6/3/2014 8:33:01 PM",20727110,9964906,74239,,,"157.192.236.213","392","9492","-1","43186","100-0013",,29,9,"http://a.rfihub.com/sed?w=300&h=250&co=sej%3Afalse%2CuG%3A0%2CnewUser%3Afalse%2CexId%3A257560645318968364%2Cmt%3A1%2Coptimize%3Afalse%2Curl%3Apnc-60.pnc-rtb1.rfihub.net%2CscoreMicroConversions%3A24%2Cbt%3A1401823980033%2Cuuid%3A691302544862930222%2CscoreMicroClicks%3A0%2CserverId%3Apnc-60%2CuV%3A0%2CbB%3Atrue&ep=0.497738&ri=0313a3cb16379c3ced7276750df9ce3f&rs=&ai=720617&rt=169303&re=20787&ug=&pv=0&ra=8239800450.06745996213776778&rb=345&ca=&rc=13.0&rd=&ua=&ub=&uc=&ud=&ue=&pa=ppre8239800383927&pb=&pc=&pd=&pg=&ct=1401823980045&di=&app=0&pe=http%3A%2F%2Ftopics.jp.msn.com%2Fwadai%2Fcyzo%2Farticle.aspx%3Farticleid%3D4591663&pf=",,,"-1","-1",
